FIPS,STATE,2G,3G,4G_LTE,4G_Non_LTE,Other,ANY
020130001001004,AK,51.03,0.0,0.0,0.0,30.71,51.03
020130001001005,AK,100.0,0.0,0.0,0.0,100.0,100.0
020130001001006,AK,8.79,0.0,0.0,0.0,0.0,8.79
020130001001007,AK,0.32,0.0,0.0,0.0,0.0,0.32
020130001001011,AK,67.2,0.0,0.0,0.0,0.0,67.2
020130001001012,AK,15.72,0.0,0.0,0.0,0.0,15.72
020130001001013,AK,9.6,0.0,0.0,0.0,0.0,9.6
020130001001016,AK,3.69,0.0,0.0,0.0,0.0,3.69
020130001001018,AK,40.08,0.0,0.0,0.0,0.0,40.08
020130001001022,AK,30.64,0.0,0.0,0.0,0.0,30.64
020130001001023,AK,18.48,0.0,0.0,0.0,0.0,18.48
020130001001024,AK,0.05,0.0,0.0,0.0,0.0,0.05
020130001001027,AK,26.19,0.0,0.0,0.0,0.0,26.19
020130001001028,AK,0.37,0.0,0.0,0.0,0.0,0.37
020130001001029,AK,13.08,0.0,0.0,0.0,5.89,13.08
020130001001033,AK,66.94,0.0,0.0,0.0,0.0,66.94
020130001001053,AK,22.12,0.0,0.0,0.0,0.0,22.12
020130001001057,AK,89.88,0.0,0.0,0.0,80.55,89.88
020130001001060,AK,35.23,0.0,0.0,0.0,0.0,35.23
020130001001061,AK,95.87,0.0,0.0,0.0,56.42,95.87
020130001001067,AK,0.02,0.0,0.0,0.0,0.0,0.02
020130001001071,AK,44.1,0.0,0.0,0.0,7.42,44.1
020130001001074,AK,59.17,0.0,0.0,0.0,0.0,59.17
020130001001076,AK,63.72,0.0,0.0,0.0,3.54,63.72
020130001001077,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001078,AK,81.33,0.0,0.0,0.0,0.0,81.33
020130001001079,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001080,AK,63.84,0.0,0.0,0.0,0.0,63.84
020130001001082,AK,0.28,0.0,0.0,0.0,0.0,0.28
020130001001083,AK,3.06,0.0,0.0,0.0,0.0,3.06
020130001001086,AK,8.91,0.0,0.0,0.0,0.0,8.91
020130001001087,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001088,AK,31.5,0.0,0.0,0.0,0.0,31.5
020130001001095,AK,11.18,0.0,0.0,0.0,0.0,11.18
020130001001096,AK,53.83,0.0,0.0,0.0,0.0,53.83
020130001001097,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001098,AK,79.34,0.0,0.0,0.0,0.0,79.34
020130001001099,AK,27.4,0.0,0.0,0.0,0.0,27.4
020130001001101,AK,36.74,0.0,0.0,0.0,0.0,36.74
020130001001102,AK,0.65,0.0,0.0,0.0,0.0,0.65
020130001001104,AK,16.38,0.0,0.0,0.0,0.0,16.38
020130001001166,AK,44.21,0.0,0.0,0.0,0.0,44.21
020130001001167,AK,0.15,0.0,0.0,0.0,0.0,0.15
020130001001182,AK,99.95,0.0,0.0,0.0,0.0,99.95
020130001001183,AK,61.26,0.0,0.0,0.0,0.0,61.26
020130001001193,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001194,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001195,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001196,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001197,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001198,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001199,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001200,AK,100.0,0.0,0.0,0.0,0.0,100.0
020130001001201,AK,100.0,0.0,0.0,0.0,0.0,100.0
